,Count,Interface ID,Encap Type,Time,Time Epoch,Time Delta,Time Delta Displayed,Time Relative,Number,Len,Cap Len,Marked,Ignored,Protocols
88,88,0,23,"Apr 13, 2017 15:56:39.624227000 Pacific Daylight Time",1492124199.624227000,0.000300000,0.103841000,9.115243000,6303,259,259,0,0,radiotap:wlan_radio:wlan
89,89,0,23,"Apr 13, 2017 15:56:39.728647000 Pacific Daylight Time",1492124199.728647000,0.000282000,0.104420000,9.219663000,6369,259,259,0,0,radiotap:wlan_radio:wlan
90,90,0,23,"Apr 13, 2017 15:56:39.836235000 Pacific Daylight Time",1492124199.836235000,0.000224000,0.107588000,9.327251000,6442,259,259,0,0,radiotap:wlan_radio:wlan
91,91,0,23,"Apr 13, 2017 15:56:39.941010000 Pacific Daylight Time",1492124199.941010000,0.000283000,0.104775000,9.432026000,6509,259,259,0,0,radiotap:wlan_radio:wlan
92,92,0,23,"Apr 13, 2017 15:56:40.032257000 Pacific Daylight Time",1492124200.032257000,0.000432000,0.091247000,9.523273000,6590,259,259,0,0,radiotap:wlan_radio:wlan
93,93,0,23,"Apr 13, 2017 15:56:40.134772000 Pacific Daylight Time",1492124200.134772000,0.002231000,0.102515000,9.625788000,6677,259,259,0,0,radiotap:wlan_radio:wlan
94,94,0,23,"Apr 13, 2017 15:56:40.237170000 Pacific Daylight Time",1492124200.237170000,0.004626000,0.102398000,9.728186000,6685,259,259,0,0,radiotap:wlan_radio:wlan
95,95,0,23,"Apr 13, 2017 15:56:40.339561000 Pacific Daylight Time",1492124200.339561000,0.007050000,0.102391000,9.830577000,6694,259,259,0,0,radiotap:wlan_radio:wlan
96,96,0,23,"Apr 13, 2017 15:56:40.445734000 Pacific Daylight Time",1492124200.445734000,0.005803000,0.106173000,9.936750000,6790,259,259,0,0,radiotap:wlan_radio:wlan
97,97,0,23,"Apr 13, 2017 15:56:40.546785000 Pacific Daylight Time",1492124200.546785000,0.005373000,0.101051000,10.037801000,6868,259,259,0,0,radiotap:wlan_radio:wlan
98,98,0,23,"Apr 13, 2017 15:56:40.655702000 Pacific Daylight Time",1492124200.655702000,0.000304000,0.108917000,10.146718000,6949,259,259,0,0,radiotap:wlan_radio:wlan
99,99,0,23,"Apr 13, 2017 15:56:40.761221000 Pacific Daylight Time",1492124200.761221000,0.000284000,0.105519000,10.252237000,7012,259,259,0,0,radiotap:wlan_radio:wlan
100,100,0,23,"Apr 13, 2017 15:56:40.851418000 Pacific Daylight Time",1492124200.851418000,0.000259000,0.090197000,10.342434000,7102,259,259,0,0,radiotap:wlan_radio:wlan
101,101,0,23,"Apr 13, 2017 15:56:40.953915000 Pacific Daylight Time",1492124200.953915000,0.000510000,0.102497000,10.444931000,7178,259,259,0,0,radiotap:wlan_radio:wlan
102,102,0,23,"Apr 13, 2017 15:56:41.060247000 Pacific Daylight Time",1492124201.060247000,0.000455000,0.106332000,10.551263000,7244,259,259,0,0,radiotap:wlan_radio:wlan
103,103,0,23,"Apr 13, 2017 15:56:41.162616000 Pacific Daylight Time",1492124201.162616000,0.000467000,0.102369000,10.653632000,7312,259,259,0,0,radiotap:wlan_radio:wlan
104,104,0,23,"Apr 13, 2017 15:56:41.269603000 Pacific Daylight Time",1492124201.269603000,0.000462000,0.106987000,10.760619000,7390,259,259,0,0,radiotap:wlan_radio:wlan
105,105,0,23,"Apr 13, 2017 15:56:41.465906000 Pacific Daylight Time",1492124201.465906000,0.004753000,0.196303000,10.956922000,7474,259,259,0,0,radiotap:wlan_radio:wlan
106,106,0,23,"Apr 13, 2017 15:56:41.568309000 Pacific Daylight Time",1492124201.568309000,0.008602000,0.102403000,11.059325000,7570,259,259,0,0,radiotap:wlan_radio:wlan
